id,name,快捷键,冷却时间,技能消耗,Information
146, 不可逆のネクローシス,Q,9/8/7/6/5秒,40/55/70/85/100法力值,使时间之力具象化朝前方发射，对沿途的怪物单位造成55/95/135/175/215+（0.6全AP）法术伤害。将第一个碰撞到的敌方英雄锁定一单位2秒并且获得3秒视野，2秒后对其造成55/95/135/175/215+（0.6全AP）伤害如果目标在该技能锁定期间或伤害生效时死亡，则该技能变成为较小范围的AOE伤害，造成55/95/135/175/215+（0.6全AP）（该技能直接碰撞到处于アポトーシ状态的敌方英雄，必定触发范围伤害效果）
146,怨嗟断愁のアポトーシス,W,14/13/12/11/10秒,50/60/70/80/90法力值,对敌方英雄使用，目标在接下来受到的全部伤害将在3秒后或达到承受伤害上限后，以一个3秒的持续魔法伤害形式，再次受到伤害，承受上限50/100/150/200/250（0.8全AP）对己方英雄使用，己方英雄在接下来3秒免疫受到的全部伤害，将在3秒后或则达到承受伤害上限后，对己方英雄造成3秒的持续魔方伤害，持续伤害最多减低至1生命值，不会致死，承受上限50/100/150/200/250（0.8全AP）
146,时间跳跃のパラノイア,E,15/14/13/12/11秒,20/25/30/35/40法力值,一段：对指定区域召唤时间齿轮，标记目标区域的敌方英雄并在地面上留下时间标记，对区域内的敌方单位60/105/150/195/240+（0.7全AP）法术伤害同时减少15%的移动速度，持续3秒，并获得二段技能二段：3秒内可将一被标记的敌方英雄传送至时间标记处，并造成60/105/150/195/240+（0.7全AP）法术伤害，刷新其アポトーシス的持续伤害的。
146,无限连锁のアポトーシ,R,120/100/80秒,100法力,对指定区域释放无限连锁のアポトーシ，持续4秒，牧濑红莉栖使用技能对区域内的敌方英雄造成伤害的同时区域内其他单位会承受20%的魔法伤害（包括被攻击的目标），队友技能造成的伤害享受一半的效果。若魔法阵内有敌方英雄死亡，则对阵内单位造成50/100/150（0.5全AP）的法术伤害。
145,御坂网络,被动,无,无,脱离战斗后每秒会恢复10点电极，第三次普通攻击耗费10点电极并对目标及周围造成溅射伤害，。普通攻击/基础技能伤害会活动百分比提升，提升百分百相当于当前电极的5%/10%。
145,践踏,Q,16/15/14/13/12秒,20电极/无耗费/无耗费,践踏：一方通行操作风的矢量，飞跃到目标区域，重击地面造成40/70/100/130/160+(0.6额外）范围物理伤害，并增加30移动速度，持续2秒。如果对目标造成伤害，则触发“弹射”技能，没有造成伤害，则触发“飞射”技能。弹射：一方通行反射飞石向上击退目标，造成40/6/80/100/120(+0.56额外)物理伤害。飞射：向前踢出飞石，对目标造成40/60/80/100/120(+0.56额外)物理伤害，并降低目标30%移速，持续2秒
145,绝对屏障,W,18秒【不享受冷却缩减】,30电极,主动效果：召唤防御屏障，在1.5秒内格挡敌方绝大部分飞行轨迹（防御塔除外），并且会朝目标方向反射一颗空气子弹，对碰撞的目标造成65/100/135/170/205(+0.64额外）物理伤害。对同一目标的反弹间隔为0.5秒，碰撞到第一个英雄后消失。
145,黑色之翼,E,18/17/16/15/14秒,无消耗,一段：一方通行获得未知神秘力量，背后会长出黑色之翼，标提高自身9%/11%/13%/16%/18%护甲穿透和20%/30%/40%/50%/60%攻击速度，持续6秒，并在6秒内获得二段：黑色风暴黑色风暴：黑色之翼变换为黑色龙卷风，对前方敌人造成40/70/100/130/160(+0.55全AD)物理伤害.并减速命中单位30%的移动速度，持续2秒。
145,等离子聚合体,R,120/100/80秒,无消耗,一方通行收集气体，蓄力2秒后汇集成能量球向指定区域释放，造成300/450/600(+1.0全AD）物理伤害
144,破军歌姬,被动,20秒,无消耗,"美九每20秒会获得破军歌姬状态强化普通技能
美九的普通攻击会减少破军歌姬的冷却时间1秒。"
144,轮舞曲,Q,10秒,45/55/65/75/80法力值,美九通过音乐制造强大的音波，前方扇形造成65/105/145/185/225（+0.5ap）的范围魔法伤害并降低目标移动速度30%，持续2秒。破军歌姬：轮舞曲伤害范围+100码并眩晕0.5秒。
144,镇魂曲,W,12秒冷却时间,60, 美九弹奏镇魂曲有镇痛的力量，恢复听到歌曲的友方英雄40/65/90/115/140（0.6ap）的生命值。破军歌姬：对一名友方英雄持续镇痛，获得30/60/90/120/150（+0.6ap）护盾，持续5秒，护盾结束后40%/50%/60%/70%/80%护盾值将转换为生命值。
144,独奏曲,E,12秒,40/50/60/70/80法力值,美九对一个目标(可以对友方使用）进行独奏，0.5秒后独奏的音波将以该单位为中心扩散，击退300码内敌方单位造成40/70/100/130/160（+0.5ap）法术伤害。破军歌姬：独奏曲的音波扩散的3秒后再次扩散，击退敌方单位。
144, 管风回音,R,120/110/100秒,120,美九在自身周围召唤大量音管，1秒后弹奏管风琴迷惑人心，敌方英雄听到管风琴将会进入眩晕状态，持续3秒。
143,数据备份,被动,300秒,无消耗,蒂塔死亡后，会进入断线模式并进行能量补充。可以移动，但是移动速度降低70%。能量补充时间结束后，蒂塔将在基地复活。断线模式时，队友可在300娘身边使300娘复活复活时，蒂塔和队友无法移动，施法，可打断。冷却时间300秒。
143,数据投影,Q,8/7/6/5/4秒,40/45/50/55/60法力值,本体释放：300娘向指定方向投射数据模组，命中目标或到达最大距离后展开，对范围内的所有敌人造成40/80/120/160/200（+0.8AP）法术伤害，并偷取所有命中目标的部分属性（英雄5点攻击力与法术强度，非英雄1点攻击力），随后数据返回，在爆炸中心复制出300娘的投影（无法移动，投影初始属性为300娘的50%，偷取的属性会转移至投影）.投影释放：向目标点投射数据模组，对碰撞到的单位造成20/40/60/80/100（+分身的0.8AP）法术伤害
143,数据复制,W,10秒,40/45/50/55/60法力值,本体释放：300娘向指定方向发射数据线，命中目标后造成30%减速并每秒持续受到20/30/40/50/60（+0.2AP）法术伤害，持续3秒。投影释放：投影向指定方向发射数据线，命中目标后造成30%减速并每秒受到10/15/20/25/30（+分身的0.2AP）点法术伤害，且分身伤害的30%将治疗本体。如果自身与分身同时命中一个目标，可再次使用w技能，将自身与分身位置互换。若数据复制与目标存在3秒后仍然未被拉断，则会对目标造成1S眩晕
143,数据转换,E,16/15/14/13/12秒,90法力值,300娘对目标英雄添加数据转换区。友方效果：转换器存在时增加其10/20/30/40/50攻击力与法术强度，降低攻击者10/20/30/40/50攻击力及法术强度，存储受到的伤害。转换器消失后，会将存储的伤害值转换为护盾，护盾值为基础50/10/150/200/250点加上存储的伤害，最多不会超过目标最大生命值。若场上存在300娘投影，则会将投影属性缓慢转移到目标身上。敌方效果：攻击身上存在的转换器目标，会为攻击者增加所造成伤害10%的护盾。
143,数据删除,R,141秒,150法力值,被动效果：300娘伤害技能命中敌方目标后（不限且包括Q+Q分身，QW，W+W分身），会对扫描目标的弱点，伤害技能再次命中被扫描目标则扫描完成，伤害技能对完成扫描的敌人造成最大生命值3/4/5%魔法伤害。主动效果：300娘在指定位置召唤闪电，闪电矛将附近数据进行扩散性删除，在范围内所有敌方单位会进入数据虚空4秒，离开数据虚空后，会对敌方单位造成225/350/475（+0.9AP）法术伤害。若敌方单位被扫描完成，则会在数据虚空内直接造成伤害，血量低于5/10/15%，则会将其直接删除（斩杀）。
142,勇气徽章,被动,,,每次普通攻击获得5点怒气，暴击获得10怒气，击杀敌方英雄获得20怒气，自身800范围内死亡一名已方小兵则获得1点怒气，死亡一名友方英雄获得20点怒气，怒气上限100，每2点怒气提高1%攻击速度
142,恐龙克星,Q,7/6/5/4/3秒,无消耗,被动效果：普通攻击与恐龙克星会给目标附加一层标记，持续3秒。若目标已存在2层则消耗标记，造成50/70/90/110/130（0.5额外AD）法术伤害并减速35%，持续1秒。主动效果：战斗暴龙兽挥舞龙爪，对扇形范围内的敌人造成20/40/60/80/100（+1全AD）物理伤害，并降低目标15%护甲，持续2秒。20怒气额外效果：消耗20怒气，获得双倍减甲效果。
142,勇气之盾,W,15秒,无消耗,被动效果：战斗暴龙兽每次释放其他技能都会减少此技能1秒冷却时间。主动效果：战斗暴龙兽激活勇气徽章，给自身添加一层可以吸收40/80/120/160/200（+0.4全AD）伤害的护盾，护盾存在2秒，每50点额外攻击力，延迟护盾1秒，最长5秒。若护盾被敌人击溃，获得20怒气，并且4秒内下一次恐龙克星会击晕目标，持续1秒，若此时怒气值大于50，则眩晕时间增加至1.5秒
142,战斗龙卷风,E,14/13/12/11/10秒,无消耗,战斗暴龙兽高速旋转向目标方向发起一次冲锋，对路径上的所有敌方单位造成50/85/120/155/190（+0.5额外AD）物理伤害，并击退目标一小段距离。15怒气额外效果：战斗暴龙兽怒气落地后，增加150%移动速度持续1秒
142,盖亚能量炮,R,100/85/70秒,无消耗,战斗暴龙兽向目标区域投掷盖亚能量炮，造成250/400/550（+1AD）点物理伤害。
141,战列舰,被动,,,战列舰装甲：1级护甲提高5点，战列舰火炮：1级炮弹携带上限为10，普通攻击和技能每次会消耗一枚炮弹，战斗状态下每5秒补充一枚炮弹，非战斗状态下每2秒补充一枚炮弹，当有炮弹消耗时附加10/20/30（+0.3额外攻击）物理伤害并触发普通攻击以外其他技能的额外效果，该技能会在9/18级时得到提高，每次增加5点护甲和5枚炮弹。
141,九一式彻甲弹,Q,9/8/7/6/5秒,30/40/50/60/70,朝指定方向发射一枚九一式彻甲弹，对敌人造成40/80/120/160/200（+0.6额外AD）物理伤害。成功消耗一枚炮弹：使该伤害自带40%护甲穿透。
141,三式对空弹,W,12/11/10/9/8秒,35/45/55/65/75法力值,朝指定方向发射三式对空弹，对小范围敌人造成50/80/110/140/170（+0.75额外AD）物理伤害。成功消耗一枚炮弹：爆炸造成伤害的同时燃烧目标，每秒造成10（+0.3额外AD）法术伤害持续3秒
141,水面侦察机,E,20/18/16/14/12秒,无消耗,朝指定方向放出水面侦察机（免疫时停），获得被侦查到的目标视野并对该目标造成的伤害提高5/10/15/20/25%，受到被侦查目标的伤害减少5/10/15/20/25%，持续4秒
141,主炮齐发,R,105/90/75秒,150法力值,对身前扇形区域进行5次轰击，每次造成30/50/70（0.5全AD）物理伤害。每轮成功消耗一枚炮弹：减少目标移动速度和攻击速度10%，可叠加5层，持续2秒
140,壳金七星,被动,,,游戏开始时亚里亚拥有7层壳金，每层壳金可以降低1%受到伤害以及1%物理吸血。当亚里亚被敌方英雄击杀时，敌方从亚里亚处获得一层壳金。每损失1层壳金亚里亚获得2%攻击力加成。当亚里亚击杀持有壳金的敌方英雄时，她将回收1层壳金。壳金的增益效果仅对亚里亚有效
140,双剑姿态/双枪姿态,Q,3,无消耗,亚里亚切换至近战双剑姿态，增加5/10/15/20/25点固定护穿，3秒内下一次普通攻击附加50/70/90/110/130（+0.75额外AD）点物理伤害。亚里亚切换至远程双枪姿态，普通攻击有10/15/20/25/30%概率攻击2次。第2次攻击造成一半的伤害。第2次攻击可以附加暴击效果，但只有第一次攻击会附带装备特效。切换到双抢姿态后3秒内下次攻击绝对触发第二次攻击。
140,接近枪斗术/双剑回旋刃,W,18/16/14/12/10秒/11/10/9/8/7秒,40/45/50/55/60法力值,被动效果:亚里亚根据与被动攻击目标之间的距离增加额外伤害。距离越近额外伤害越高，最多增加10/15/20/25/30（+0.3~0.1额外ad）[根据距离伤害发生变化越近伤害越高]，该被动效果仅在双枪姿态下有效。主动效果:向目标进行强力射击，对目标单位造成75/125/175/225/275（+0.9额外AD）点物理伤害。被动效果:亚里亚获得5/10/15/20/25点双抗，该被动效果仅在双剑姿态下有效。主动效果:旋转剑刃，对范围内所有目标造成30/60/90/120/150（+0.5全AD）点物理
140,武侦强袭,E,22/21/20/19/18秒,40/45/50/55/60法力值,被动效果:亚里亚对一个目标进行普通攻击时会提高12/14/16/18/20%攻击速度并降低武侦强袭0.5秒冷却时间。提高的攻击速度持续3秒，最高可叠加到5层。当亚里亚改变攻击目标时，会失去全部叠加层数。主动效果:亚里亚提高40/45/50/55/60%移动速度，持续3秒。每次对敌方单位进行普通攻击会降低1秒冷却时间。
140,绯绯神,R,60/50/40秒,100法力值,"亚里亚化身为随战斗本能和爱情而动的灾祸化身,提高自身10/20/30%造成的伤害和150/250/350点生命上限，并且获得不可阻挡效果，免疫所有控制，持续5/6/7秒。持续时间内每击杀一个敌方英雄可延长1秒持续时间。绯绯神状态结束后亚里亚进入虚弱状态，降低20%/15%/10%攻击力，持续3.5秒。亚里亚每拥有一层壳金可减少持续时间0.5秒。"
139,信仰之力,被动,无,无,诺瓦露周围所有英雄可以增加诺瓦露4%攻击力与攻击速度.当目标英雄身上有剑痕时，诺瓦露打个响指，引爆有剑痕的英雄。
139,蕾丝狂舞,Q,8/7.5/7/6.5/6秒,50/60/70/80/90,诺瓦露用脚踢飞目标，造成40/70/100/130/160（0.65额外ad）点物理伤害，如果目标身上有灼热之痕状态，则给目标附加减速30%，持续3秒
139,暴风之剑/无限剑斩,W,16/15.5/15/14.5/14秒,60/65/70/75/80,暴风之剑：诺瓦露向前方进行挥斩，造成40/80/120/160/200（0.75额外ad）点物理伤害无限剑斩：诺瓦露向目标冲锋，并给英雄身上叠加剑痕状态，持续4秒可获得身上有剑痕状态的英雄视野，状态时间结束后自动引爆剑痕，冲锋冷却时间随着攻速成长而降低。当敌方英雄身上存在剑痕时，可使用被动键来引爆敌方英雄，造成45/90/135/180/225（0.65额外ad）点物理伤害，超过一层时，每增加一层剑痕可额外提高20%伤害
139,火山俯冲,E,12/11/10/9/8秒,50/55/60/65/70,向前方进行挑斩，跳斩后向前方连续放出三个火柱，火柱造成60/95/130/165/200（0.8额外ad）点物理伤害，并附加灼热之痕状态，持续3秒。
139,七色乱舞刃,R,100/90/80秒,70/80/90,一段：诺瓦露锁定一个英雄，对其发动突袭，造成0.5s眩晕和120/160/200（0.5额外ad）点物理伤害，随后5s内诺瓦露将对周围目标造成50/70/90（0.2额外ad）点物理伤害二段：诺瓦露将升空，从天而降暴击目标，对范围内敌人造成120/160/200（0.8额外ad）点物理伤害，同时对目标附加60%减速，持续1s。（技能释放期间诺瓦露免疫控制，升空后无法被选中）
138,克图格亚的活火焰,被动,,,克图格亚星人拥有“从濒死状态恢复，战斗力会增强”的特性。生命值每降低3%，则受到的治疗效果提升1%，当生命值低于30%，则炎精灵造成的伤害转化的生命值提高100%。
138,宇宙CQC百式·炎之精灵,Q,14秒,50法力值,召唤6个克图格亚的眷属炎精灵浮游炮围绕自身，对四周的敌方单位进行自动攻击造成8/16/24/32/40+的物理伤害，持续4秒每0.5秒早场一次伤害.炎精灵造成伤害的15%转化为生命值治疗克子.
138,难以名状之棒状物体火焰邪神原版,W,15秒,70法力值,"被动效果：克子的攻击或技能命中敌方英雄后会附带灼伤，每秒造成目标上限2%的法术伤害对野怪最多造成200点，持续3秒主动效果：护甲和魔抗提高10点，移动速度25%,持续5秒."
138,交换灼热机制,E,15秒,60法力值,克子会在脚下的小范围召唤克图格亚师门的大地，持续3秒。对范围内的敌人造成10+物理伤害每0.5秒造成一次伤害，并每秒叠加10%的减速.范围内的友军提高护甲和魔抗20点.减速效果会在敌方离开克图格亚师门大地后，继续保持2秒
138,宇宙CQC百式·零一牺牲,R,120秒,当前生命值20%,烈焰中舞动的火花，将赐予邪恶异性交往以天罚！克子化身为炙热的火焰冲向敌方英雄.自己受到自身受到当前生命值的20%的法术伤害，对目标造成其最大生命值20%的法术伤害.并眩晕目标1秒.法术伤害均受到魔抗影响.
137,无忧的茶会,被动,无,无,巴麻美每次击杀/助攻时可以净化灵魂宝石，获得2/1层净化度，最高10层，每层增加2/5秒法力回复。死亡后灵魂宝石陷入污浊（净化度归零）。附近存在友方英雄时，每一个友方英雄都会给你增加百分比灵魂宝石层数的攻速。
137,魔弹的舞踏,Q,18/17/16/15/14秒,30/40/50/60/70,召唤出最少3把，最多7把围绕自身随即数量的火枪，持续8秒。对目标造成10/20/30/40/50+（0.3全AD）额外的物理伤害，每把未消失的火枪提高15%的攻击速度。攻击200范围外的目标造成15%的减速，持续2秒，攻击200范围内的目标会造成击退并减速，8秒内无法对同一目标造成击退。
137,织叠的羁绊,W,18/17/16/15/14秒,50/60/70/80/90,对指定方向放出丝带，命中敌方英雄后将其定身0.75秒拉断后降低到0.5秒，丝带会缠绕400范围内另一名敌方英雄，并降低40%移动速度，丝带持续2秒。丝带持续4秒，期间其中一名英雄受到巴麻美伤害时，另一名也会受到35%的伤害。丝带超过700范围时会被拉断，造成70/110/150/190/230+（0.7AP）法术伤害，并定身1秒。
137,燧火的回声,E,16/15/14/13/12秒,50/60/70/80/90,被动效果：每3次普通攻击随即召唤1~5把（上限随着技能等级提升）火燧抢，每把火燧抢提高10+（0.15全AD）普通攻击伤害。主动效果：召唤火燧抢朝目标区域随即打击4秒，对击中的目标造成10/20/30/40/50+（0.3全AD）物理伤害并减速25%，同一单位只受到后续伤害的30%，持续1秒
137,少女的终曲,R,120/105/90秒,100,向指定方向发射炮弹，炮弹碰撞敌方英雄时产生爆炸，对范围目标造成300/450/600+（1.2全AD）额外物理伤害
136,雷光战斧,被动,无,无,雷光战斧拥有形态切换能力，每个形态的被动效果只有在该形态下有效，切换后则移除效果。菲特每使用基础技能会复回2%生命值并减少R技能一秒冷却时间.
136,强袭形态【雷光枷锁】,Q,18/16/14/12/10秒,50/60/70/80/90,主动效果；运用雷光锁定指定区域内的敌人，每秒对其造成20/40/60/80/100+（0.6AP）的法术伤害，持续5秒
136,巨镰形态【巨镰斩击】,W,18/17/16/15/14秒,50,主动效果：雷光战斧切换至巨镰形态，可瞬移到指定地点，并向前方扇形范围造成50/85/120/155/190+（0.5AP）法术伤害
136,圣刃形态【雷霆圣剑】,E,12/11/10/9/8秒,40/50/60/70/80,被动效果：移动速度提高10%，每次普通攻击会附带5/10/15/20/25+0.25AP法术伤害主动效果：雷光战斧切换至圣刃形态，菲特挥舞圣刃朝指定方发出直线斩击，对沿途的敌方造成60/100/140/180/220+(0.6AP）法术伤害
136,雷光战斧·天翔,R,0秒[不享受冷却缩减],无消耗,"被动效果：使用基础技能可切换对应技能的形态雷神震怒：运用雷光锁定指定区域的敌人1.5秒，对其造成持续伤害巨镰裂斩：挥舞巨镰，对身边敌人造成伤害并减速30%,持续1.5秒雷焰圣刃：用飓风将指定范围的敌人定身0.5秒，随后用远距离斩向目标区域，对目标及沿途单位造成伤害"
135,二天一流,被动,,,妖梦灵活运用‘白楼剑’和‘楼观剑’两把剑御敌，所有技能将造成混合伤害（混合伤害：将根据目标的物理，法术抗性与自身的物理法术抗性自动选择最优的类型结算伤害）
135,剑技“樱花闪闪”,Q,12,50/60/70/80/90法力值,妖梦向指定方向突进，并对途径的敌人造成50/95/140/185/230（+0.8AD额外）混合伤害，并在身后留下存在3.5秒的樱色剑闪，对范围内敌人每0.5秒造成15/25/35/45/55（+0.15AP[全]）混合伤害
135,空观剑“六根清净斩”,W,15/14/13/12/11秒,70法力值,一段：妖梦在两秒内用白楼化解受到的伤害，在受到英雄攻击时可以免疫该次伤害，若目标距离妖梦800范围内则会标记目标。二段：4秒内妖梦可幻化6道幻影斩杀目标，对其造成50/100/150/200/250（+0.8AD额外]）（+0.5AP[全]）混合伤害并眩晕1秒，随后出现在目标身边（幻影期间妖梦无敌并且无法被选中）。若期间妖梦化身幻影，则技能增加10秒冷却时间
135,六道剑“一念无量劫”,E,10/9/8/7/6秒,50法力值,妖梦对目标敌人造成20/45/70/95/120（+0.8AD额外）混合伤害，短暂延迟后剑芒爆发对目标及周围敌人造成40/70/100/130/160（+0.7AP全）混合伤害，并附带减速30%，持续1.5秒
135,人鬼“未来永劫斩”,R,120/105/90,100/125/150法力值,妖梦对英雄发起突袭，将其击飞1秒，并造成75/150/255（+1.0AD额外）的混合伤害，短暂停顿后飞向英雄并以英雄为中心斩出7道剑芒，每道造成10/20/30（+0.15AD额外）混合伤害，随后剑芒爆发对周围敌人造成150/225/300（+0.6AP全）混合伤害（斩出剑芒期间妖梦无敌并且无法被选中）大招期间无法使用Q技能与W技能
134,终结之剑,被动, , ,黑雪姬拥有绝对切断的能力，理论上甚至可以切断永恒之地。看起来很美好，增加护甲穿透10%
134,死亡穿刺,Q, 13/12/11/10/9,40/45/50/55/60,向指定方向发起穿刺攻击，对沿途的敌人造成40/65/90/115/140（+0.8*额外攻击力）物理伤害，并标记所有命中的敌方英雄五秒，标记至少一个英雄后，五秒内可以使用二段技能：死亡闪击。死亡闪击：选中被标记的英雄释放，立即瞬移到目标身边，并造成40/65/90/115/140（+0.8*额外攻击力）点物理伤害。技能死亡穿刺现在在使用完死亡闪击后才会进入冷却时间
134,死亡拥抱,W,16/15/14/13/12,50/60/70/80/90,眩晕指定目标0.5秒，并降低5/10/15/20/25点护甲，持续三秒，同时造成40/90/140/190/240（+1.3*额外攻击力）物理伤害
134,死亡弹幕,E,14/13/12/11/10,50,黑雪姬踢向目标，对其及路径上敌人造成30/65/100/135/170（+1.0全额攻击力）物理伤害随后在目标身后出现并获得加速能力，提高自身100%移动速度，持续三秒。
134,超频驱动,R,135/120/105,100,黑雪姬压制目标英雄，持续两秒，对其发出16次斩击，每段造成15/25/35（+0.1全额攻击力）真实伤害。释放期间获得30%伤害减免。
133,旭日之心,被动,,,奈叶的技能对目标照成伤害时会获得一个吸收法术伤害的护盾，护盾持续四秒。护盾值相当于技能照成伤害的15%
133,禁锢枷锁,Q,15/14/13/12/11秒,60,奈叶在目标区域召唤魔法阵，短站延迟后对法阵内的敌人照成60/100/140/180/240（+0.5ap[全]）法术伤害并禁锢1.5秒
133,天神烈破,W,6,70,奈叶运用强大的魔法阵向墓边发出穿透性的法术攻击，对一直线上的敌人造成50/100/150/200/250（+0.65ap[全]）法术伤害。
133,天神照射,E,10,80/85/90/95/100点法力值,被动效果：奈叶熟练的掌握对于魔法的操控，增加自身法术穿透5%/10%/15%/20%/25%主动效果：奈叶锁定目标区域内的敌人，随即发射指向性光弹，1.2秒内对目标造成80/120/160/200/240（+1.0ap[全]）法术伤害。（吟唱期间可移动终止）
133,星光爆裂,R,150/125/100,100/150/200,被动效果：奈叶使用星光爆裂击杀敌方英雄后会将其收入后宫，该英雄此后每击杀一个小兵都将为奈叶提供1金币。主动效果：奈叶将空间中的魔力集中在魔法阵中央，连同自身魔法一并放出，对目标区域内敌人造成250/400/550（0.8ap[全]）法术伤害
131,神威灵装四番,被动,,," 神威灵装四番（被动）：神威灵装·四番可以使大部分攻击无效化，每20秒获得一层防御，最多叠加3层。每层防御增加10%的伤害减免。每次受到来自英雄的攻击会移移除一层。
四糸乃的技能在命中目标后都会降低目标25&的移动速度，持续两秒，减速效果不会叠加"
131,冰霜操控,Q,7秒,40/50/60/70/80法力,四糸乃操控冰霜攻击敌人，对目标及周围敌人造成50/90/130/170/210（+0.6AP）点法术伤害，并对目标单位附加冰霜标记，期间目标受到普通攻击时会额外造成20/30/40/50/60（+0.1AP）点法术伤害，每次攻击带冰霜印记的目标时，攻击者获得15%攻速加成，可叠加三次
131,极寒冰墙,W,20/18/16/14/12秒,60/70/80/90/100法力,四糸乃向指定区域召唤极寒冰墙，0.5秒后从地面升起，对范围内的敌人造成40/75/110/145/180(+0.5AP)法术伤害并冻住一秒。 
131,防御结界,E,15/14/13/12/11秒,80法力,被动效果：提高自身周围500范围内友方英雄的4/8/12/16/20物理与法术抗性。 主动效果：四糸乃以冰霜之力形成防御结界保护目标，为目标施加一个可以吸收60/120/180/240/280（+0.4AP）伤害的护盾并提高护甲，护盾存在4秒，其间四糸乃可以主动引爆护盾，护盾被引爆或者被击碎时会对目标周围250范围内的敌人造成50/100/150/200/250（+0.4AP）法术伤害
131,冻结傀儡,R,170/150/130秒,100/125/150法力,四糸乃在自身脚下召唤冻结傀儡，傀儡出现时会冻结周围敌人0.2秒并形成寒冬领域，持续4秒，领域内友军将获得15%的伤害减免，领域边缘的敌人每0.5秒受到20/40/60（+0.2AP）法术伤害(不触发装备特效)，寒冰领域会阻挡领域内外的敌人视野，并且阻止飞行技能从领域外飞入。
130,神威灵装一番,被动,,,被动技能：每当折纸受到英雄伤害有25%几率抵消本次伤害，每10点伤害增加该技能冷却时间1秒，最低10秒，最高100秒。
